time (s),friction coefficient,time (ms),SEP_300,FIM_300,SEP_500,FIM_500,SEP_1000,FIM_1000,phase
0.0007000177472206659,0.471556390745818,0.7000177472206659,,,,,,,
0.0007735059916565166,0.47168249526250006,0.7735059916565167,,,,,,,
0.0008507530862525406,0.47218694192364835,0.8507530862525405,,,,,,,
0.0009319224592765714,0.4746231328913064,0.9319224592765714,,,,,,,
0.001017068586817887,0.48249148809023107,1.0170685868178868,,,,,,,
0.0011060280406086536,0.4888003792482293,1.1060280406086536,,,,,,,
0.0011988008206488714,0.49280740415336244,1.1988008206488714,,,,,,,
0.0012956048312956518,0.49280740415336244,1.2956048312956518,,,,,,,
0.0013966035008168283,0.49488079224349035,1.3966035008168283,,,,,,,
0.0015016334009445675,0.504000967117542,1.5016334009445675,,,,,,,
0.0016106945316788693,0.5063525253129847,1.6106945316788692,,,,,,,
0.0017241137495554008,0.5064882977928091,1.7241137495554009,,,,,,,
0.001841509721949217,0.5101156868700399,1.8415097219492171,,,,,,,
0.001963263781485263,0.5099788687503181,1.963263781485263,,,,,,,
0.0020892124998957056,0.5113825227412495,2.0892124998957056,,,,,,,
0.0022192469250019884,0.5122056510731332,2.2192469250019884,,,,,,,
0.0023534760089826677,0.5131967318794571,2.3534760089826676,,,,,,,
0.00249222660837341,0.5091199399973049,2.49222660837341,,,,,,,
0.002635008438370715,0.5196268586408573,2.635008438370715,,,,,,,
0.0027819304511531385,0.513609534743475,2.7819304511531384,,,,,,,
0.0029333195032563474,0.5186449279978963,2.9333195032563473,,,,,,,
0.0030889032142339527,0.5171048208171812,3.0889032142339525,,,,,,,
0.00324879053626451,0.5138849881660568,3.2487905362645098,,,,,,,
0.00341270908890163,0.5169664086076136,3.41270908890163,,,,,,,
0.0035810946808595354,0.5231191559505836,3.581094680859535,,,,,,,
0.0037533480751561696,0.5200442530882031,3.7533480751561696,,,,,,,
0.003929741652237922,0.5091199399973049,3.9297416522379223,,,,,,,
0.004110438840372627,0.5091199399973049,4.110438840372627,,,,,,,
0.004295330687381728,0.5091199399973049,4.295330687381728,,,,,,,
0.0044843627171759475,0.5106633434896563,4.484362717175948,,,,,,,
0.004677643881933841,0.5168277158571503,4.67764388193384,,,,,,,
0.004875174181655408,0.5103891930746884,4.875174181655408,,,,,,,
0.005076844664162094,0.5040791427911242,5.076844664162094,,,,,,,
0.005282709805543176,0.5039441085153541,5.282709805543176,,,,,,,
0.005492551701441542,0.5071675572919263,5.492551701441542,,,,,,,
0.005706479304035749,0.5036735653321955,5.706479304035749,,,,,,,
0.005924274708968685,0.501994679016645,5.924274708968685,,,,,,,
0.006146482677133129,0.5017256712451745,6.146482677133129,,,,,,,
0.0063730487324398025,0.5039441085153541,6.373048732439803,,,,,,,
0.006603373637906649,0.49399754837876275,6.60337363790665,,,,,,,
0.006837675297890781,0.4943956549049399,6.837675297890781,,,,,,,
0.007076117140660031,0.4972248735410519,7.076117140660031,,,,,,,
0.007318535737946566,0.4968249180481419,7.318535737946566,,,,,,,
0.00756531242237533,0.4983696155335737,7.56531242237533,,,,,,,
0.007816174813499936,0.49695793758970264,7.816174813499936,,,,,,,
0.008070959483052548,0.4937326130412288,8.07095948305255,,,,,,,
0.008329285098408221,0.49501355982197287,8.32928509840822,,,,,,,
0.00859185984872757,0.49655841124245853,8.59185984872757,,,,,,,
0.008858356877474924,0.49192119616276037,8.858356877474924,,,,,,,
0.009128994089007397,0.4883015308348624,9.128994089007396,,,,,,,
0.00940344462678932,0.4833971752169476,9.403444626789321,,,,,,,
0.009681871919088529,0.4962925304564547,9.681871919088529,,,,,,,
0.009964275965905023,0.49474843515125083,9.964275965905022,,,,,,,
0.0102506567672388,0.4850756946072301,10.2506567672388,,,,,,,
0.010540687466554196,0.4850756946072301,10.540687466554196,,,,,,,
0.010834803872565432,0.49254340609473674,10.834803872565432,,,,,,,
0.011132733604826119,0.4832674884855067,11.132733604826118,,,,,,,
0.011434476663336256,0.48623253559992485,11.434476663336257,,,,,,,
0.011740305428542236,0.48751744709248396,11.740305428542236,,,,,,,
0.012049947519997667,0.4841668626267957,12.049947519997666,,,,,,,
0.012363402937702548,0.47345311677054175,12.36340293770255,,,,,,,
0.012680780633835436,0.4889312349812431,12.680780633835436,,,,,,,
0.013002298512753443,0.478233446136151,13.002298512753443,,,,,,,
0.013327575241831622,0.47294596257568994,13.327575241831623,,,,,,,
0.013656883201516364,0.48055908845244577,13.656883201516365,,,,,,,
0.013989841059182724,0.4731994037867953,13.989841059182725,,,,,,,
0.014326557767009257,0.4760452553921575,14.326557767009257,,,,,,,
0.01466736018153163,0.47436906522038735,14.667360181531631,,,,,,,
0.015011649065767789,0.4746231328913064,15.01164906576779,,,,,,,
0.015359860228431953,0.4728191816679342,15.359860228431954,,,,,,,
0.015712048145613403,0.4836493411398858,15.712048145613403,,,,,,,
0.016067994912955026,0.4742419708789733,16.067994912955026,,,,,,,
0.0164277550065461,0.4661125458868652,16.4277550065461,,,,,,,
0.016791546330743735,0.47089040638916585,16.791546330743735,,,,,,,
0.017159368885547935,0.4631314015241752,17.159368885547934,,,,,,,
0.017530950290512305,0.46716367045831203,17.530950290512305,,,,,,,
0.017905909213011904,0.4672887673624437,17.905909213011903,,,,,,,
0.018285008318296624,0.4623877343849402,18.285008318296622,,,,,,,
0.018667920749830792,0.4652404954639248,18.66792074983079,,,,,,,
0.019054700983703692,0.45617483616310006,19.054700983703693,,,,,,,
0.019445457972093877,0.4638148776545612,19.445457972093877,,,,,,,
