time (s),friction coefficient,time (ms),SEP_300,FIM_300,SEP_500,FIM_500,SEP_1000,FIM_1000
5.120752392120059e-5,0.0015349575597836933,0.05120752392120059,,,,,,
5.1262000010478467e-5,0.0025582625996394886,0.05126200001047847,,,,,,
5.147990436758996e-5,0.0025592029688244274,0.05147990436758996,,,,,,
5.1588856546145705e-5,0.0058842444222348715,0.05158885654614571,,,,,,
5.153438045686783e-5,0.009725367810613676,0.05153438045686783,,,,,,
5.169780872470145e-5,0.016887289833959818,0.05169780872470145,,,,,,
5.21880935282023e-5,0.02276853713679145,0.0521880935282023,,,,,,
5.2896282688814655e-5,0.02763487640672671,0.052896282688814654,,,,,,
5.393132838509424e-5,0.03786846811251596,0.05393132838509424,,,,,,
5.5674563241986176e-5,0.04938051639932248,0.05567456324198618,,,,,,
5.8343891616601955e-5,0.0591103459629393,0.05834389161660195,,,,,,
6.183036133038583e-5,0.07061669702701037,0.06183036133038583,,,,,,
6.635187674044929e-5,0.0849585928258924,0.06635187674044929,,,,,,
7.174500957895872e-5,0.09904115489350533,0.07174500957895871,,,,,,
7.817318811374774e-5,0.11283320068446223,0.07817318811374774,,,,,,
8.574536452337209e-5,0.12792879896197532,0.08574536452337209,,,,,,
9.41891583614424e-5,0.14154710158007036,0.0941891583614424,,,,,,
0.00010404933052073741,0.1599241160719348,0.10404933052073741,,,,,,
0.00011532588100125712,0.17553264087976414,0.11532588100125712,,,,,,
0.00012796433371372364,0.19084638993310585,0.12796433371372365,,,,,,
0.00014212811692597063,0.20677514749159295,0.14212811692597063,,,,,,
0.00015759932628088655,0.22292484316897432,0.15759932628088655,,,,,,
0.00017448691395702718,0.23877369979384594,0.17448691395702717,,,,,,
0.00019295430822222613,0.25285956307595564,0.19295430822222612,,,,,,
0.00021327388952287275,0.2689503069540583,0.21327388952287274,,,,,,
0.00023522775350185557,0.2848626122245877,0.23522775350185557,,,,,,
0.0002591972327841197,0.29824464638301623,0.2591972327841197,,,,,,
0.00028512785128038726,0.31348961190540703,0.28512785128038726,,,,,,
0.00031301960899065824,0.3275779800095267,0.3130196089906582,,,,,,
0.0003429269820042105,0.3407273669579966,0.3429269820042105,,,,,,
0.0003747954942317662,0.3530438875831097,0.3747954942317662,,,,,,
0.0004084617174054917,0.3658147266916378,0.4084617174054917,,,,,,
0.00044414355588249854,0.3786144000251282,0.44414355588249854,,,,,,
0.00048216786619845387,0.391142023708719,0.48216786619845386,,,,,,
0.000522425696174802,0.4025626897986093,0.5224256961748021,,,,,,
0.0005650259979900987,0.4103742439980848,0.5650259979900987,,,,,,
0.0006098053433765103,0.42116080820086327,0.6098053433765104,,,,,,
0.0006569271606018704,0.4320110753767338,0.6569271606018704,,,,,,
0.0007063369735769012,0.44030876267206925,0.7063369735769012,,,,,,
0.0007580892583908805,0.4479702496663993,0.7580892583908805,,,,,,
0.000812347443311642,0.45643641389274964,0.812347443311642,,,,,,
0.0008690570522499078,0.4638411956545803,0.8690570522499077,,,,,,
0.0009280546569378442,0.4705352314019016,0.9280546569378442,,,,,,
0.0009895036856432849,0.47676008727624397,0.9895036856432848,,,,,,
0.001053730994901897,0.4797109532381645,1.0537309949018971,,,,,,
0.0011205186803565693,0.4882959264517008,1.1205186803565692,,,,,,
0.0011899756941858575,0.4913318340298136,1.1899756941858575,,,,,,
0.0012621020363897614,0.4950174450133951,1.2621020363897615,,,,,,
0.0013370611352361147,0.4997196799219326,1.3370611352361146,,,,,,
0.0014142537537428607,0.503427089555231,1.4142537537428608,,,,,,
0.001494388081070612,0.5061198411046399,1.494388081070612,,,,,,
0.0015773006889515347,0.5085068798584068,1.5773006889515346,,,,,,
0.0016627191969392397,0.5110046948629166,1.6627191969392396,,,,,,
0.0017510249376586717,0.5118354119083538,1.7510249376586717,,,,,,
0.0018421634350205534,0.5136277950634259,1.8421634350205534,,,,,,
0.0019361346890248844,0.5138209158265522,1.9361346890248845,,,,,,
0.002032884223582387,0.5123427470057974,2.032884223582387,,,,,,
0.002132357562603783,0.5143538520030353,2.132357562603783,,,,,,
0.0022346091821783508,0.5135816379841082,2.234609182178351,,,,,,
0.0023398569866632016,0.5134767036246217,2.3398569866632015,,,,,,
0.002448046499969057,0.5128806960216996,2.448046499969057,,,,,,
0.002558796389470973,0.5114070531142062,2.5587963894709733,,,,,,
0.0026727058921510055,0.510037267508412,2.6727058921510056,,,,,,
0.0027897205319198765,0.5105761270956135,2.7897205319198766,,,,,,
0.0029097858326883087,0.5079046955772901,2.909785832688309,,,,,,
0.0030325749379206345,0.5087214310559732,3.0325749379206344,,,,,,
0.003158523656331077,0.5056202783489234,3.1585236563310772,,,,,,
0.0032873051313839687,0.5027314994928495,3.2873051313839685,,,,,,
0.0034190827913471436,0.5027615376983307,3.4190827913471438,,,,,,
0.0035536932079527675,0.5012658361956671,3.5536932079527674,,,,,,
0.0036914087616472307,0.5000056033138244,3.6914087616472306,,,,,,
0.0038323928806983662,0.4986432868722933,3.8323928806983663,,,,,,
0.0039764276607490625,0.49761897836384367,3.9764276607490623,,,,,,
0.004123295197442208,0.4956308828185221,4.123295197442208,,,,,,
0.0042734857755813045,0.493190393700316,4.273485775581305,,,,,,
0.004426345682095016,0.49165317708474676,4.4263456820950156,,,,,,
0.004582365201786844,0.49087988515654507,4.5823652017868435,,,,,,
0.004741435382478233,0.48826263789652485,4.741435382478232,,,,,,
0.004903828604615572,0.48619337318582156,4.903828604615572,,,,,,
0.005069381439931028,0.4827847501203935,5.0693814399310275,,,,,,
