time (ms),friction coefficient,slip (m),velocity,SEP_300,FIM_300,SEP_500,FIM_500
0.0,-0.11422537297764956,0.0,0.0007283050878658268,,,,
0.03999999997904524,-0.1140184036123221,3.054606623210242e-8,0.0007636516558025604,,,,
0.07999999995809048,-0.11799605443638214,6.241145428750863e-8,0.0007966347013851551,,,,
0.11999999993713573,-0.1141324043713623,9.550336672697138e-8,0.0008272978109865689,,,,
0.15999999991618097,-0.11650975163593387,1.2973528269091194e-7,0.000855797899098514,,,,
0.1999999998952262,-0.11860914987038079,1.6503093213549963e-7,0.0008823912361146921,,,,
0.23999999987427145,-0.11528672788615728,2.013274756290818e-7,0.0009074135873395542,,,,
0.2799999998533167,-0.11874815366359663,2.3857771915147717e-7,0.0009312560880598841,,,,
0.31999999983236194,-0.11804403487139106,2.767512716939336e-7,0.0009543388135614103,,,,
0.3599999998114072,-0.11653017765875205,3.15834637612739e-7,0.0009770841479701353,,,,
0.3999999997904524,-0.11755518002616483,3.5583031753781496e-7,0.0009998919981268988,,,,
0.43999999976949766,-0.115503413350455,3.967550634462208e-7,0.0010231186477101465,,,,
0.4799999997485429,-0.11763340087347292,4.3863748878996104e-7,0.0010470606335935054,,,,
0.5199999997275881,-0.11618180052410208,4.815152687788949e-7,0.001071944499723346,,,,
0.5599999997066334,-0.11843524753568635,5.25432176929022e-7,0.0010979227037531776,,,,
0.5999999996856786,-0.11585666648781276,5.704351922121877e-7,0.0011250753820791419,,,,
0.6399999996647239,-0.11527411403449442,6.165718793861436e-7,0.0011534171793488963,,,,
0.6799999996437691,-0.11381270119951233,6.638881980739518e-7,0.0011829079671952071,,,,
0.7199999996228144,-0.11704864253225714,7.124268398946265e-7,0.001213466045516867,,,,
0.7599999996018596,-0.11464445478082155,7.62226133907478e-7,0.0012449823503212878,,,,
0.7999999995809048,-0.11603764556597201,8.133195050149277e-7,0.0012773342776862436,,,,
0.8399999995599501,-0.11243539366732966,8.657354229942178e-7,0.0013103979494822524,,,,
0.8799999995389953,-0.11620220866527155,9.194977452449084e-7,0.0013440580562672636,,,,
0.9199999995180406,-0.11625903939534019,9.746263361467148e-7,0.0013782147725451598,,,,
0.9599999994970858,-0.11599136664210155,1.0311378403427862e-6,0.0014127876049017855,,,,
0.999999999476131,-0.11647032738837337,1.0890464949284643e-6,0.0014477163646419533,,,,
1.0399999994551763,-0.11321304718030877,1.1483648838318637e-6,0.0014829597225849847,,,,
1.0799999994342215,-0.11395974719607538,1.2091045632401048e-6,0.0015184919852060256,,,,
1.1199999994132668,-0.11330341245551065,1.2712765160797585e-6,0.001554298820991343,,,,
1.159999999392312,-0.11281605430106037,1.3348914227794308e-6,0.0015903726674918069,,,,
1.1999999993713573,-0.11085359141891947,1.3999597618099992e-6,0.00162670847576421,,,,
1.2399999993504025,-0.11277036670170348,1.4664917745404848e-6,0.0016633003182621412,,,,
1.2799999993294477,-0.11072455802634706,1.5344973433448825e-6,0.0017001392201099412,,,,
1.319999999308493,-0.10896680577000807,1.6039858390785072e-6,0.0017372123933406193,,,,
1.3599999992875382,-0.11065522402757792,1.6749659942016874e-6,0.0017745038780795032,,,,
1.3999999992665835,-0.10941409089344449,1.7474458517656176e-6,0.0018119964390982553,,,,
1.4399999992456287,-0.10945195467855436,1.8214328294294497e-6,0.0018496744415958035,,,,
1.479999999224674,-0.10719400331434167,1.8969339231529264e-6,0.0018875273430869167,,,,
1.5199999992037192,-0.10648800844287505,1.9739560588171404e-6,0.001925553391605345,,,,
1.5599999991827644,-0.10504162327911294,2.0525065833564112e-6,0.00196376311348177,,,,
1.5999999991618097,-0.10355815229691767,2.1325938714998613e-6,0.0020021822035862506,,,,
1.639999999140855,-0.1041305953265247,2.2142280111774017e-6,0.002040853491938511,,,,
1.6799999991199002,-0.10267082952608203,2.297421521029307e-6,0.0020798377462976367,,,,
1.7199999990989454,-0.10081517294372175,2.3821900479444293e-6,0.002119213172878052,,,,
1.7599999990779907,-0.09893909302292495,2.4685529914691036e-6,0.0021590735881168574,,,,
1.799999999057036,-0.09874169727944716,2.5565340052498074e-6,0.002199525344517595,,,,
1.8399999990360811,-0.09465564211152722,2.646161333023814e-6,0.0022406831943501625,,,,
1.8799999990151264,-0.09746690562897163,2.737467947366756e-6,0.002282665358573549,,,,
1.9199999989941716,-0.09389324094633399,2.8304914725060114e-6,0.0023255881284813874,,,,
1.9599999989732169,-0.09163595709500581,2.925273886910054e-6,0.0023695603601010654,,,,
1.999999998952262,-0.08926308420967304,3.021861015898259e-6,0.0024146782247051225,,,,
2.0399999989313073,-0.09181087413129044,3.1203018380614905e-6,0.0024610205540807886,,,,
2.0799999989103526,-0.08784960656560226,3.220647640868304e-6,0.002508645070170333,,,,
2.119999998889398,-0.08729098606070579,3.3229510697153757e-6,0.0025575857211767978,,,,
2.159999998868443,-0.08588955831945005,3.4272651204105542e-6,0.0026078512673794623,,,,
2.1999999988474883,-0.08699698942786954,3.5336421275026026e-6,0.00265942517730121,,,,
2.2399999988265336,-0.08355630669965612,3.64213280012438e-6,0.0027122668155444294,,,,
2.279999998805579,-0.08455903335527205,3.7527853534537255e-6,0.0027663138332336417,,,,
2.319999998784624,-0.07944602874133602,3.865644778026429e-6,0.0028214856143175776,,,,
2.3599999987636693,-0.07796935492413753,3.980752281529567e-6,0.002877687587578454,,,,
2.3999999987427145,-0.07604808770709799,4.0981449289167405e-6,0.002934816184679343,,,,
2.4399999987217598,-0.07676313396193193,4.217855497197691e-6,0.002992764207023769,,,,
