time (ms),friction coefficient,slip (m),velocity,SEP_300,FIM_300
0.0,-0.09574654979415412,2.064605285498979e-6,0.0029206567197186803,,
0.0400000000372529,-0.09509184728769038,2.1869105247362036e-6,0.00305763098093061,,
0.0800000000745058,-0.09477713743959136,2.314871499091811e-6,0.003199024358890182,,
0.12000000011175871,-0.09451558017046405,2.448669112502692e-6,0.003344940335272032,,
0.1600000001490116,-0.09419149484252856,2.588484390881814e-6,0.003495381959478046,,
0.20000000018626451,-0.09365880648029318,2.7345021733782557e-6,0.003650444562411041,,
0.24000000022351742,-0.09339348033132541,2.886898420439005e-6,0.003809906176518731,,
0.2800000002607703,-0.09281819178153605,3.0458570916512902e-6,0.003973966780307132,,
0.3200000002980232,-0.09233281196019777,3.211573908359315e-6,0.004142920417700616,,
0.3600000003352761,-0.09192261195517737,3.3842390879351474e-6,0.004316629489395813,,
0.40000000037252903,-0.09109507581424166,3.5640418327994566e-6,0.004495068621607729,,
0.44000000040978193,-0.09073253168010595,3.7511739707737413e-6,0.0046783034493571175,,
0.48000000044703484,-0.08985770324399903,3.945808787615751e-6,0.004865870421050237,,
0.5200000004842877,-0.0893869163916736,4.148137332127376e-6,0.005058213612790619,,
0.5600000005215406,-0.0884636066925027,4.358361443252176e-6,0.005255602778120004,,
0.6000000005587935,-0.08754195929922078,4.5766764370363705e-6,0.0054578748446048675,,
0.6400000005960464,-0.08660166302706641,4.803286369139524e-6,0.005665248302578847,,
0.6800000006332994,-0.08586013727938328,5.038388418284235e-6,0.005877551228617757,,
0.7200000006705523,-0.08498180348978043,5.28215806746446e-6,0.006094241229505633,,
0.7600000007078052,-0.08404519414547823,5.534802190155483e-6,0.006316103067275567,,
0.8000000007450581,-0.08268816194824499,5.796527267999472e-6,0.006543126946099733,,
0.840000000782311,-0.08140534820566453,6.0675301393241384e-6,0.00677507178311666,,
0.8800000008195639,-0.08027919743547511,6.348003826645696e-6,0.007011842183038936,,
0.9200000008568168,-0.07886806969792864,6.638155927652337e-6,0.007253802525166018,,
0.9600000008940697,-0.07734876554351179,6.93819476499198e-6,0.007500970933491077,,
1.0000000009313226,-0.07606692751632546,7.2483121315902225e-6,0.007752934164956068,,
1.0400000009685755,-0.07417253983331529,7.568717954653147e-6,0.008010145576573108,,
1.0800000010058284,-0.07250071482890336,7.899622572873625e-6,0.008272615455511964,,
1.1200000010430813,-0.07066065852182435,8.241219457853612e-6,0.008539922124499675,,
1.1600000010803342,-0.06876663625458883,8.593730673888882e-6,0.00881278040088173,,
1.200000001117587,-0.0668344997616622,8.957350673143019e-6,0.009090499981353434,,
1.24000000115484,-0.06472989998910045,9.332293317929659e-6,0.009373566119666,,
1.280000001192093,-0.06238148740191634,9.71876782568793e-6,0.009661862693956755,,
1.3200000012293458,-0.059977042810668964,1.0117001085720374e-5,0.009955831500811113,,
1.3600000012665987,-0.057666845092522304,1.0527194275640354e-5,0.010254829747999497,,
1.4000000013038516,-0.05497487947631132,1.094957682132952e-5,0.010559563642229139,,
1.4400000013411045,-0.052181151405949915,1.1384360951528071e-5,0.010869603254963788,,
1.4800000013783574,-0.04930324819628962,1.1831780266266589e-5,0.011185482868462939,,
1.5200000014156103,-0.04636038615119914,1.2292051114168545e-5,0.011506771197548914,,
1.5600000014528632,-0.043253353201227966,1.2765395738720567e-5,0.011833615613800544,,
1.6000000014901161,-0.039943956967994104,1.3252053824507447e-5,0.012166452144672006,,
1.640000001527369,-0.03647014059318438,1.375224768328743e-5,0.012504846469499573,,
1.680000001564622,-0.03291125503965743,1.4266212329107588e-5,0.012849116145503936,,
1.7200000016018748,-0.029081776888028203,1.4794176260982714e-5,0.01319909829687815,,
1.7600000016391277,-0.025228043062039525,1.5336400064850585e-5,0.013555595096696783,,
1.8000000016763806,-0.021100217230775577,1.5893118476418592e-5,0.013917960289200169,,
1.8400000017136335,-0.016926190692873495,1.6464582797596624e-5,0.014286608029450797,,
1.8800000017508864,-0.012516661795039498,1.705104469267853e-5,0.014661547377047652,,
1.9200000017881393,-0.007959774437859552,1.7652760110239104e-5,0.01504288543901435,,
1.9600000018253922,-0.0032352277113361512,1.8269987171431707e-5,0.015430676529815075,,
2.000000001862645,0.0016700099548326488,1.8902993892435735e-5,0.015825168025100707,,
2.040000001899898,0.006748794452240783,1.9552067990643895e-5,0.016226852455204003,,
2.080000001937151,0.012000034529662558,2.021749285394829e-5,0.016635621582609842,,
2.120000001974404,0.017422420440951172,2.089954753913599e-5,0.017051367129692532,,
2.1600000020116568,0.0230088767509251,2.1598523925282362e-5,0.01747440965365929,,
2.2000000020489097,0.028770587655657643,2.2314695861888467e-5,0.01790429841515261,,
2.2400000020861626,0.03475167923738965,2.3048367672587126e-5,0.01834179526746648,,
2.2800000021234155,0.040936315139064205,2.379984806402492e-5,0.01878700978594485,,
2.3200000021606684,0.0472350504401767,2.456945396810225e-5,0.019240147601933256,,
2.3600000021979213,0.053805853811235704,2.5357510486408663e-5,0.019701412957660314,,
2.400000002235174,0.060442790534898816,2.6164346936109624e-5,0.020170911242524032,,
2.440000002272427,0.06722588423006248,2.699029889798298e-5,0.02064879904683392,,
2.48000000230968,0.0742321201987018,2.7835701354934853e-5,0.021135061423796796,,
2.520000002346933,0.08164796616793703,2.8700904119781368e-5,0.021630069121162863,,
2.560000002384186,0.08882474389600542,2.9586271755379024e-5,0.022134190889941417,,
2.6000000024214387,0.0964914576394908,3.0492167986342663e-5,0.022647405774090953,,
2.6400000024586916,0.10397164223782039,3.1418955550955225e-5,0.023169689115314068,,
2.6800000024959445,0.11194401037467543,3.236702014885519e-5,0.023701614947499113,,
2.7200000025331974,0.1201240951001442,3.333675701776821e-5,0.024243421722825453,,
2.7600000025704503,0.1288139962120624,3.4328540647568714e-5,0.02479459074501264,,
2.800000002607703,0.13675286104676776,3.5342778552649645e-5,0.025355947627023267,,
2.840000002644956,0.1455844948772163,3.637987474825793e-5,0.025927404890207152,,
2.880000002682209,0.15409199364247067,3.744025444956183e-5,0.026509492532597503,,
2.920000002719462,0.1631636217212094,3.8524347435098614e-5,0.027102324638419578,,
2.960000002756715,0.17207726836872198,3.963256839398404e-5,0.02770552397213572,,
3.0000000027939677,0.18154400827893713,4.076537154175372e-5,0.02923324658007854,,
